Location,Price,Number of bedrooms,Living area,Surface area land,Property subtype_FARMHOUSE,Property subtype_HOUSE,Property subtype_MANSION,Property subtype_MIXED_USE_BUILDING,Property subtype_VILLA,Kitchen equipped,Open fireplace,Terrace,Garden,Pool,Condition
Ohain,1125000.0,4.0,412.0,4056.0,0,1,0,0,0,1,0,1,0,0,1
Beringen,279000.0,3.0,185.0,165.0,0,1,0,0,0,1,0,1,0,0,1
Ittre Haut-Ittre,295000.0,4.0,180.0,1432.0,0,1,0,0,0,0,0,1,0,0,1
Nivelles,265000.0,3.0,187.0,231.0,0,1,0,0,0,1,0,1,0,0,0
Sint-Amandsberg,335000.0,4.0,200.0,162.0,0,1,0,0,0,0,0,0,1,0,1
Gent,335000.0,4.0,200.0,162.0,0,1,0,0,0,0,0,0,1,0,1
Willebroek,389000.0,3.0,170.0,184.0,0,0,1,0,0,1,0,1,1,0,0
Peer,359000.0,3.0,180.0,3429.0,0,1,0,0,0,1,0,1,1,0,0
Meise,745000.0,5.0,300.0,582.0,0,0,0,0,1,1,1,1,0,0,0
Oostende,240000.0,3.0,133.0,141.0,0,1,0,0,0,1,0,1,1,0,0
Mont-sur-Marchienne,220000.0,2.0,136.0,244.0,0,1,0,0,0,1,0,1,1,0,0
Lummen,205000.0,3.0,151.0,545.0,0,1,0,0,0,0,0,0,0,0,1
Courcelles,195000.0,3.0,125.0,424.0,0,1,0,0,0,0,0,0,1,0,1
Courcelles,65000.0,2.0,93.0,332.0,0,1,0,0,0,0,0,0,1,0,1
Beerzel,369000.0,3.0,204.0,617.0,0,1,0,0,0,0,0,1,1,0,0
Chaudfontaine Embourg,250000.0,3.0,154.0,200.0,0,1,0,0,0,0,0,1,0,0,1
Braine-le-Comte Hennuyères,365000.0,3.0,149.0,1650.0,0,0,0,0,1,0,0,1,1,0,1
Enghien,310000.0,5.0,200.0,327.0,0,1,0,0,0,1,0,0,1,0,0
Tubize,190000.0,3.0,201.0,135.0,0,1,0,0,0,1,0,1,0,0,1
Dinant,398000.0,4.0,254.0,920.0,0,0,0,1,0,1,0,1,0,0,1
Flemalle,95000.0,2.0,85.0,120.0,0,1,0,0,0,1,0,1,1,0,1
Hove,435000.0,2.0,130.0,685.0,0,1,0,0,0,0,0,1,1,0,1
Herzele,329000.0,3.0,190.0,327.0,0,1,0,0,0,1,0,1,0,0,0
Woluwe-Saint-Lambert,790000.0,4.0,278.0,132.0,0,1,0,0,0,1,0,1,1,0,0
Auderghem,625000.0,4.0,208.0,165.0,0,1,0,0,0,1,0,1,1,0,1
Lodelinsart,100000.0,2.0,101.0,51.0,0,1,0,0,0,1,0,0,0,0,1
Liège Bressoux,125000.0,4.0,127.0,84.0,0,1,0,0,0,1,0,0,0,0,1
Grez-Doiceau,1150000.0,5.0,322.0,2400.0,0,0,0,0,1,1,0,1,0,0,0
Zaventem,529000.0,4.0,165.0,156.0,0,1,0,0,0,1,0,1,0,0,1
LIEGE,219000.0,3.0,165.0,0.0,0,0,1,0,0,0,0,1,0,0,1
Uccle,599000.0,3.0,220.0,141.0,0,1,0,0,0,1,0,1,1,0,1
Hoboken,369000.0,3.0,181.0,229.0,0,1,0,0,0,1,0,1,1,0,1
Turnhout,239000.0,4.0,130.0,265.0,0,1,0,0,0,0,0,0,0,0,1
Turnhout,219000.0,3.0,118.0,180.0,0,1,0,0,0,1,0,0,0,0,1
Turnhout,328000.0,4.0,129.0,507.0,0,1,0,0,0,1,0,1,0,0,1
Rumst Terhagen,248500.0,2.0,90.0,162.0,0,1,0,0,0,1,0,1,1,0,0
Sint-Agatha-Berchem,419000.0,3.0,164.0,180.0,0,1,0,0,0,0,0,1,0,0,1
Dilbeek,339500.0,4.0,225.0,221.0,0,1,0,0,0,1,0,1,0,0,1
Colfontaine Wasmes,149000.0,2.0,110.0,354.0,0,1,0,0,0,1,0,1,1,0,0
Rixensart,1060000.0,7.0,430.0,2000.0,0,0,0,0,1,1,0,1,0,0,0
Bonheiden,395000.0,5.0,196.0,936.0,0,1,0,0,0,1,0,0,1,0,1
Gent,295000.0,3.0,80.0,61.0,0,1,0,0,0,0,0,1,0,0,0
Antwerp,279000.0,3.0,126.0,133.0,0,1,0,0,0,0,0,0,0,0,0
Dadizele,335000.0,3.0,180.0,3092.0,0,1,0,0,0,0,0,0,1,0,1
Meerhout,275000.0,3.0,280.0,275.0,0,0,0,1,0,1,0,0,1,0,1
Tielt-Winge,275000.0,3.0,118.0,780.0,0,1,0,0,0,0,0,0,1,0,1
Nijlen,335000.0,3.0,167.0,267.0,0,1,0,0,0,1,0,0,0,0,0
Melle,289000.0,3.0,191.0,0.0,0,1,0,0,0,0,0,0,1,0,0
Bredene,269000.0,3.0,190.0,333.0,0,1,0,0,0,1,0,0,1,0,1
Nieuwpoort,249000.0,3.0,160.0,0.0,0,1,0,0,0,0,0,0,0,0,1
Hasselt,424000.0,3.0,266.0,516.0,0,1,0,0,0,1,1,0,1,0,0
Borgerhout,399000.0,6.0,230.0,87.0,0,0,1,0,0,1,0,0,1,0,1
Borgerhout,339900.0,3.0,140.0,140.0,0,1,0,0,0,1,0,0,1,0,1
Houthalen-Helchteren,297000.0,4.0,140.0,1100.0,0,1,0,0,0,0,0,1,0,0,1
Antwerp,585000.0,5.0,240.0,90.0,0,1,0,0,0,0,0,1,1,0,0
Borgerhout,460000.0,3.0,177.0,215.0,0,1,0,0,0,1,0,0,1,0,1
Berchem,460000.0,3.0,177.0,215.0,0,1,0,0,0,1,0,0,1,0,1
Pittem,385000.0,3.0,230.0,594.0,0,1,0,0,0,1,0,1,1,0,0
De Haan,1650000.0,4.0,499.0,760.0,0,0,0,0,1,1,1,0,1,0,0
Kessel-Lo,960000.0,4.0,260.0,235.0,0,0,0,1,0,1,0,0,0,0,0
Wevelgem,254950.0,3.0,168.0,175.0,0,1,0,0,0,1,0,1,1,0,0
Smetlede,239000.0,4.0,141.0,260.0,0,1,0,0,0,0,1,0,0,0,1
Gentbrugge,285000.0,3.0,160.0,232.0,0,1,0,0,0,1,0,0,0,0,1
Wondelgem,395000.0,3.0,163.0,623.0,0,1,0,0,0,1,0,0,0,0,1
Kortrijk,245000.0,2.0,168.0,144.0,0,1,0,0,0,0,0,0,0,0,1
Blankenberge,349900.0,3.0,244.0,130.0,0,1,0,0,0,0,0,1,1,0,0
Nijlen,325000.0,2.0,142.0,798.0,0,1,0,0,0,1,0,0,0,0,1
Beersel,395000.0,4.0,165.0,0.0,0,1,0,0,0,0,0,1,0,0,0
Evergem,475000.0,3.0,195.0,590.0,0,0,0,0,1,1,0,1,1,0,0
Paal,439900.0,5.0,232.0,858.0,0,1,0,0,0,1,0,0,1,0,0
Ruddervoorde,315000.0,3.0,158.0,328.0,0,1,0,0,0,0,0,0,1,0,1
Gent,389000.0,2.0,74.0,31.0,0,1,0,0,0,0,0,0,0,0,1
Mons,299000.0,3.0,205.0,130.0,0,0,1,0,0,0,0,1,0,0,0
Lo-Reninge,150000.0,3.0,136.0,224.0,0,1,0,0,0,0,0,0,0,0,1
Lokeren,225000.0,2.0,146.0,144.0,0,1,0,0,0,0,0,0,0,0,1
Leffinge,381043.0,3.0,144.0,487.0,0,1,0,0,0,0,0,0,0,0,1
Nieuwpoort,595000.0,3.0,180.0,186.0,0,1,0,0,0,1,0,1,0,0,1
Nieuwpoort,275000.0,4.0,162.0,97.0,0,1,0,0,0,1,0,0,1,0,1
Merelbeke,498000.0,4.0,140.0,449.0,0,1,0,0,0,0,0,1,1,0,1
Merelbeke,498000.0,4.0,140.0,449.0,0,1,0,0,0,0,0,1,1,0,1
Sint-Idesbald,530000.0,3.0,153.0,626.0,0,0,0,0,1,1,1,0,0,0,1
Rixensart,425000.0,5.0,150.0,775.0,0,1,0,0,0,0,0,0,1,0,1
Knokke-Heist,995000.0,4.0,230.0,176.0,0,1,0,0,0,0,0,1,1,0,1
Hastière,49000.0,1.0,30.0,0.0,0,1,0,0,0,1,0,0,0,0,0
Hastière,49000.0,1.0,30.0,0.0,0,1,0,0,0,1,0,0,0,0,0
Ciney,295000.0,3.0,170.0,812.0,0,1,0,0,0,1,1,0,0,0,1
Waregem,450000.0,3.0,186.0,598.0,0,0,0,0,1,0,0,1,1,0,0
Oedelem,648000.0,4.0,280.0,3636.0,0,1,0,0,0,0,0,0,0,0,0
Assenede,189000.0,2.0,136.0,300.0,0,1,0,0,0,1,0,0,1,0,1
Keerbergen,549000.0,5.0,275.0,2000.0,0,0,0,0,1,0,0,1,1,0,1
BOIGNÉE,245000.0,3.0,110.0,627.0,0,1,0,0,0,1,0,1,1,0,0
Kruibeke,339000.0,4.0,320.0,1108.0,0,1,0,0,0,0,0,1,1,0,1
Malle,479000.0,4.0,275.0,475.0,0,1,0,0,0,0,0,1,1,0,0
Oudenburg,310000.0,3.0,241.0,839.0,0,1,0,0,0,0,0,0,0,0,1
AMPSIN,249000.0,2.0,117.0,843.0,0,1,0,0,0,1,0,1,1,0,0
SINT-GILLIS-BIJ-DENDERMONDE,179000.0,2.0,87.0,120.0,0,1,0,0,0,0,0,0,1,0,1
Wolkrange,389000.0,3.0,329.0,2125.0,0,1,0,0,0,0,0,1,0,0,1
Mechelen,337000.0,3.0,144.0,117.0,0,1,0,0,0,1,0,0,1,0,0
Kapellen,499000.0,4.0,319.0,2066.0,0,0,0,0,1,0,0,0,1,0,1
Kapellen,499000.0,4.0,319.0,2066.0,0,1,0,0,0,0,0,0,1,0,1
Leuven,685000.0,8.0,280.0,220.0,0,0,1,0,0,0,0,1,1,0,0
Schoten,349000.0,2.0,227.0,331.0,0,1,0,0,0,0,0,0,1,0,1
Poperinge,145000.0,3.0,93.0,163.0,0,1,0,0,0,0,0,0,0,0,1
NEDERBRAKEL,319000.0,5.0,210.0,101.0,0,0,0,1,0,0,0,0,0,0,1
NEDERBRAKEL,319000.0,5.0,210.0,101.0,0,1,0,0,0,0,0,0,0,0,1
Ronse,139900.0,2.0,110.0,260.0,0,1,0,0,0,0,0,0,0,0,1
Saint-Nicolas,220000.0,2.0,115.0,1320.0,0,1,0,0,0,1,0,1,1,0,0
Lissewege,280000.0,3.0,145.0,150.0,0,1,0,0,0,0,0,0,0,0,0
Lievegem,449000.0,3.0,150.0,770.0,0,1,0,0,0,1,0,0,0,0,0
Borgerhout,189500.0,4.0,120.0,45.0,0,1,0,0,0,0,0,0,0,0,1
Temse,375000.0,4.0,170.0,462.0,0,1,0,0,0,1,1,1,1,0,0
